,index,Unnamed: 0,review_rating,review_posted_date,review_text,review_author
0,0,0,5.0,01 Jun 2018,We were so excited to get our Hutzler 571...until we realized that our bananas curved the wrong way.  Gonna have to go to the store for new bananas...🍌🍌🍌,Emily S
1,1,1,2.0,05 Nov 2017,"I was sitting on the couch and my doorbell rang. I leapt off the sofa and ran to the door screaming, “My banana slicer!”  I opened the package and immediately snatched a banana to slice. Without instructions included I did not realize I had to peel the banana first. It was a gooey mess and I had to grab another. This time I peeled it, but my banana was too small. It didn’t fill the whole slicer.",L. Wurts
2,2,2,5.0,22 Feb 2018,Couldn’t live without this I don’t eat bananas but now I can slice them.,Thisgrl
3,3,3,2.0,09 May 2017,"My expectations may have been a little high, but I have not been able to successfully slice more than 3 bananas at one time.  Not sure how Hutzler can claim to slice 571 bananas with this model.  A video demonstrating the proper technique would help.","Chandler, AZ"
4,4,4,5.0,23 Jan 2018,"This slicer is the best!  For years my household would draw lots as to who would have to slice the banana.  More than once this lead to lots of blood and a trip to the emergency room.  Now we don't have to worry about loosing a finger or an occasional body part.  Slicing bananas no longer resembles a scene from the Texas Chainsaw Massacre.  Thank you Huzler 571!  If only we'd found this product sooner my wife would be able to wear her wedding band on the correct finger and junior wouldn't be known as ""3 finger Jack"".  Better late than never I say!",Michael J. Corkren
5,5,5,5.0,03 Mar 2011,"For decades I have been trying to come up with an ideal way to slice a banana.  ""Use a knife!"" they say.  Well...my parole officer won't allow me to be around knives.  ""Shoot it with a gun!""  Background check...HELLO!  I had to resort to carefully attempt to slice those bananas with my bare hands.  99.9% of the time, I would get so frustrated that I just ended up squishing the fruit in my hands and throwing it against the wall in anger. Then, after a fit of banana-induced rage, my parole officer introduced me to this kitchen marvel and my life was changed.  No longer consumed by seething anger and animosity towards thick-skinned yellow fruit, I was able to concentrate on my love of theatre and am writing a musical play about two lovers from rival gangs that just try to make it in the world.  I think I'll call it South Side Story.",SW3K
6,6,6,1.0,16 Jan 2016,"I can't believe this slicer is listed as ""great for cereal."" I tried slicing Cheerios, Trix, Corn Flakes, and Chex, and each ended up crumily smashed, not neatly sliced. What's worse, this thing is nigh useless on Cream of Wheat.",Comet
7,7,7,5.0,05 Mar 2016,Gave it as a wedding gift with a print out of all of the best rated reviews.,KaeSue
8,8,8,5.0,04 Nov 2015,"I knew my kitchen junk drawer was missing something. It has the usual obscure utensils-ice pick, meat hook, those little corn cob sticker things-but it opened so freely. I knew this was unacceptable for any kitchen junk drawer. I needed that one big thing that would barely fit in and would snag the counter every time I opened it. The Hutzler 571 was perfect! Now my drawer snags like every other junk drawer I've ever had and I have to push the Hutzler 571 down with my hand to get it open. Plus when I need 16 pieces of a banana it does the trick. Nothing worse than 9 small slices and 7 big ones on your cereal. Thanks Hutzler 571!",J. Huffman
9,9,9,3.0,25 Apr 2018,If you’re only slicing two or three bananas it might be less work to slice them with a knife than to clean this afterward.  The banana pulp sticks to it so it’s not a quick and easy clean.,Peach pie
10,10,10,5.0,07 Nov 2017,"When I first saw this product I was like, how lazy can you be? Apparently pretty lazy because I bought one and have never regretted it. LOL","Robin, Chicago Il"
11,11,11,5.0,19 Nov 2018,"If you are ever worried about having to go back to the tedious chore of slicing bananas with a knife, fear no more! The Hutzler 571 banana slicer will never fail you, even in a power outage! If you are worried that your sliced banana presentation is sloppy, this is the tool for you- uniform slices every time! Although it tends to sit idle more often that not, it gives the ambiance of my junk drawer a certain ""je ne sais quoi"" that's essential for a junk drawer that will impress everyone. It doubles as a cat scratcher, so I'm never worried about how much I paid, since it does double-duty and earns it's investment back in no time! Glad I purchased the Hutzler 571- you can't go wrong with this little tool!",Xenia
12,12,12,5.0,30 Dec 2018,Ive always wondered how to get that professional restaurant quality slice.  Now i can !  No more paying for those expensively sliced  fruits- i can just stay at home.  Considering selling banana slices to my neighbors now for active & passive income !,Nosh
13,13,13,5.0,14 Aug 2018,"As someone who eats ~10 bananas per week in smoothies, I feel the pain on laboriously slicing up the bananas.  This product is a huge time saver and works like a charm! The blades are thin enough to slice right through without mushing the banana and the curve is just the right angle for most medium to large bananas.  Cannot beat the price as well! Stop wasting your time slicing bananas the old fashioned way and get this product!",chris
14,14,14,5.0,15 Sep 2016,"I might have never knew my meaning of life without Bananas. I can't afford sharp knives so using a blunt one is a plague for any banana enthusiasts. I would wish for something to cut bananas from my family, but my family was too poor to afford such luxuries. I would go to countless bars to forget the constant pain of not being able to cut the yellow fruit. It even got to the point where my sister wouldn't bring her children to our family's Thanksgiving events because the children were to scared of my banana induced rage. My wife would always put up with my banana depression and left me; 14 years married and she had put up with everything. My will to even get out of bed had affected my life. ""If only I could cut my Bananas!"" I would yell in the streets. It wasn't till a saint, my guardian angle, my neighbor Darrel Dinkle, had told me about this amazing creation called the Hutzler 571 Banana Slicer. I wasted no time to obtain this treasure. Now my depression of bananas had been cured! Now I can cut the yellow skinned fruit that God had created for mouths to enjoy. My life couldn't be better; I've even started to go around the neighborhood to share such invention to the neighbors to spread the glorious Hutzler 571 Banana Slicers.",Amazon Customer
