,0
0,"La batterie dure assez longtemps, le son est très bon, je l'ai déjà fait tomber dans l'eau, la connection est toujours très rapide à faire et, je suis sûr, il y a bien d'autres possibilités auxquelles je me suis pas trop appliqué. Par contre, c'est pas une enceinte extrêmement solide - ca va s'abimer si tu vas pêcher sur des rochers et que ca tombe de haut, par exemple! J'aurai quand même aimé avoir un peu plus de puissance, le son est un peu trop directionnel, des fois en fonction de ta position par rapport à l'enceinte, il y a une enorme différence de puissance. Mais c'est un très bon produit, je suis sûr que ca va durer et pour l'instant c'est plus que suffisant."
1,"Très bonne article ! Super son ! Facile d'utilisation ! rien à dire pour la qualité du produit en lui même, juste un petit bémol mon vernis ou la couche de protection ce défais petit à petit je pense que cela est un défaut de fabrication.. Je suis déçu d'avoir payer un produit dis de qualité et même pas 1mois d'utilisation est déjà en dégradation naturel.. J'aimerais savoir s'il est possible de vous le renvoyé ou un échange possible je vous remercie en attente de votre réponse.."
2,"Si vous étiez comme beaucoup sur l'enceinte Wizeroll, prenez celle-ci, vous ne serez pas déçu. Quel son! Quelle maitrise des aigus... Je suis bluffé. À titre indicatif, le prix était de 100,90€ le 16 Mai 2018 pour la noire."
3,"Un sons incroyable de très bonne basse avec un sons claire. Très réactif au niveau des plusieurs connexion (Bluetooth, Parrainage) Je recommande se produit a tout type de personne cherchant une enceinte de très bonne qualité."
4,"Etant très content de ma JBL FLiP 3, j'ai voulu offrir la même enceinte à mon entourage pour Noël. La JBL FLiP 4 fonctionne vraiment très bien, est très pratique et design. Le son est de très bonne qualité, rien à voir avec les enceintes Bluetooth à 40€, elle est effectivement plus cher, mais la qualité est là !"
5,"Je l'utilise depuis plusieurs mois chaque jours. C'est un sans faute! que ce soit au niveau de la batterie qui tient longtemps où au niveau du design, y'as pas photo je pense que c'est une des meilleures enceintes nomade du marché. Je l'écoute tous les jours, et principalement avant de m'endormir j'adore m'endormir sur un fond sonore. L'enceinte est déjà tombée une fois sur du carrelage mais elle n'a visiblement rien. Petit regret quand même c'est qu'au moment où je l'ai commandé la couleur rouge n'était pas disponible, mais je ne vais pas retirer une étoile pour ça!"
6,"Le son est de très bonne qualité, l'appairage instantané, les contrôles sur l'enceinte fonctionnent bien mais dès que j'activais le micro pour retranscrire mes messages par la voix ou pour donner des instructions à Siri, l'enceinte était incapable de comprendre distinctement ce que je disais… Alors que la UE Boom 2 s'en sort très bien avec ça. Et on entend assez mal l'interlocuteur lors d'un appel téléphonique, perte de qualité."
7,"J'adore ces enceintes portables. Elles sont super pratiques (pas trop lourdes, pas trop grosses) et vraiment de bonne qualité. Elles se connectent super facilement. Elles ont une bonne autonomie. Je l'utilise souvent et je la charge une fois toutes les deux semaines environ."
8,"I ordered a JBL flip 4 on february and use it with my cellphone to listen to songs and stuff but its been 8 months now and its battery life has been already reduced to ½ hour max , this was not expected from JBL now i need to continously keep it charging or else it justs switches off , I havent dropped it either its just been sitting on my table ever since i bough it I wish amazon sees this or i am gonna make it viral"
9,Received a damaged product. How will waterproof work with strap open?. Replace it asap. The portion is cracked as well.. Feel cheated
10,Super nerviges Grundrauschen selbst wenn der Speaker stumm geschaltet ist. Will man mit dem Gerät leise Musik hören übertönt das Grundrauschen manchmal sogar die Musik auf der geringsten Lautstärke. Lauter nerviger Ton bei An- und Ausschalten. Dachte er es wär ein Defekt aber das Grundrauschen Problem scheint ja bekannt zu sein. Toller Bass aber insgesamt total unausgeglichen Klangbild. Habe außerdem von Amazon Retourware als Neuware verkauft bekommen. (Auf dem Gerät waren Kleberspuren der alten Aufkleber.
11,"Speaker veramente ottimo. La scatola è ben curata e al suo interno troviamo: il jbl Flip 4, un cavo di ricarica piatto e la manualistica varia. La resa audio non è tanto diversa dal flip 3, già questo suonava bene quindi con il 4 si cade sicuramente in piedi. A differenza del flip 3, che ad alto volume distorceva leggermente il suono, il flip 4 è perfetto fino a volume massimo, le voci vengono riprodotte in maniera chiara così come gli strumenti in sottofondo. Bassi belli potenti fin da volume basso. L'importante paso in avanti fatto con il flip 4 è che questo è completamente impermeabile, dotato di certificazione ipx7 che oltre che impermeabile lo rende resistente a polvere sabbia e terra. L'autonomia dichiarata è di 12 ore, fattibili ad un volume del 50/60 % mentre al massimo si raggiungono le 4 ore Per concludere secondo me vale tutto il prezzo che costa anche se il salto generazionale non è così marcato. Quelle piccole migliorie lo rendono sicuramente più usabile all'aperto o in spiaggia senza preoccuparsi di dove lo si poggia o se si bagna. Se hai trovato la mia recensione interessante non dimenticare di cliccare il pulsantino UTILE, grazie."
12,"Flip 4 that I have purchased from Amazon (Seller-e9accessarirs) on 1st July was fake and having no cripsy sound i.e. no high notes. I had returned & got refund immediately.Thanks Amazon. But finally I got the original product from Amazon (Seller-Appario Retail) and sound quality is exceptionally good with punchy bass and original vocal quality,moderate treble . It would have been much more better if treble response is like Sony XB20. Still I am very much satisfied with sound quality and battery backup."
