,review_rating,review_posted_date,review_text,review_author
0,5.0 ,24 Aug 2012,"Someone has answered my gentle prayers and FINALLY designed a pen that I can use all month long! I use it when I'm swimming, riding a horse, walking on the beach and doing yoga. It's comfortable, leak-proof, non-slip and it makes me feel so feminine and pretty! Since I've begun using these pens, men have found me more attractive and approchable. It has given me soft skin and manageable hair and it has really given me the self-esteem I needed to start a book club and flirt with the bag-boy at my local market. My drawings of kittens and ponies have improved, and now that I'm writing my last name hyphenated with the Robert Pattinson's last name, I really believe he may some day marry me! I'm positively giddy. Those smart men in marketing have come up with a pen that my lady parts can really identify with.",Tracy Bartell
1,4.0 ,28 Aug 2012,"I see this comes in a sleek design. But as a ""full-figured"" woman, do these pens come in ""curvy and carefree""?",Courtney
2,3.0 ,28 Nov 2013,I'd really like to buy a pack of these pens; but I probably need my father's or husband's permission first. Like I do with all my financial decisions.,Kelly A. Macpherson
3,4.0 ,28 Nov 2013,"These pens fit perfect in my hands, but hubby feels they are unnecessary since he writes all the checks. I'd explain more but I have to go make him a sammich.",Bre
4,4.0 ,12 Apr 2013,"Well at last pens for us ladies to use... now all we need is ""for her"" paper and I can finally learn to write!",PGC
5,1.0 ,21 Apr 2013,"I used one of these pens post-hysterectomy, and my uterus grew back. Thanks a lot, Bic. Thanks a whole hell of a lot.",TK
6,1.0 ,28 Aug 2012,"I can't find a switch to turn it on, and it didn't come with batteries. This is not the ""for her"" product I was expecting. At all.",M.
7,3.0 ,21 Dec 2012,"I was dissapointed to find that only one fifth of the pens I recieved were pink. Or, maybe more, I can't do maths.",i
8,1.0 ,19 Apr 2013,"if you are going to make a pen for her, please refrain from calling it a ball pen. we're confused enough.",ADB
9,4.0 ,14 Apr 2013,i live with my parents and when my dad found me using these pens he threw all of my things in the trash and now he's taking me on a hunting trip?,john mcgowan
10,1.0 ,07 Dec 2013,"We are frantically waiting for the plus or minus sign to appear, but ... nothing. My wife peed on all sixteen of them and none seem to work. Worst pregnancy tests EVER!",Martin
11,5.0 ,25 Dec 2013,"My wife has struggled with man pens all her life. Try as she might, they always wrestle her down and she has to surrender using them, unless writing on a notepad for her macho employer. We have been hoping she could take over keeping the checkbook (PLEASE! No laughter! She is very capable of writing what I tell her in the ledger.) With Bic for Her, she now has the confidence, and proper fit, in her ball pen to write and do the things a woman should. Just yesterday, with her bridge club meeting, ALL the girls could keep score since she loaned them each one of the pens. The women all told her they felt so empowered, that they would serve dinner FIVE MINUTES LATE!!! My wife's best friend, Betty Sue, even insists her husband will have to tuck his OWN napkin in tonight.",David B
12,3.0 ,31 Dec 2012,"Can these pens be bought individually?  I only intend to write things until I find a man and get married, so it's a waste of my hard-earned secretary salary to buy the whole pack.",Ersil
13,5.0 ,12 Apr 2013,The best thing about this pen? It looks so stylish tucked behind my ear while I'm perched on the corner of my boss' desk flirting with him.,Vel
14,2.0 ,12 Apr 2013,"I can only in good conscience give this product 2 stars until they offer an option for heavy flow days.  I mean, these are great for the last 2-3 days of writing, when the flow is pretty light.  But for the first couple of days, when the words are just gushing out of me, these pens are just not enough.",h.baker
15,1.0 ,28 Nov 2013,While I hate to admit ladies lets be honest here....size matters! The length was workable but unfortunately much like my last boyfriend 1.0mm of girth just isn't enough.,NikkiBrandy
16,4.0 ,12 Apr 2013,A breakthrough in Freudian analysis.  Now girls no longer need suffer from pens envy as they've been given nice pens of their own.,D. Simon
17,1.0 ,12 Apr 2013,"I haven't bought these.  I don't understand why the ink is black?  I only write in pink, I'm a girl for God's sake BIC please think before marketing a product for women.  So careless.",Mrs. Alice R. Brewer
18,5.0 ,31 Dec 2012,"Bought this for several ladies at the office to show my appreciation for their feminine qualities. Their note-taking and dictation skills immediately improved thanks to these specially-designed pens that fit perfectly in their tiny little hands. Thanks, Bic, for thinking of the everyday woman.",Chris
