,name,id,content,retweets
0,didier pailloux,@didierpailloux,"Fils caché, compagne non divorcée... Toutes les réponses aux rumeurs sur François Hollande qui prolifèrent... http://po.st/LXRUvk  via @po",2
1,didier pailloux,@didierpailloux,Anne Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la rumeur [Vidéo] http://www.telestar.fr/2015/videos/Anne-Hidalgo-Francois-Hollande-est-il-le-pere-de-son-fils-Elle-repond-a-la-rumeur-Video-96043 … via @Telestarmag,1
2,Patriote 732,@Satirique_canal,on a retrouvè le fils de hollande et hidalgo,0
3,grabotte,‏@chantalanni,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) Publié par La rédaction le Jeudi 09 Avril 2015 : 16h09,5
4,grandy,‏@grandclaude3,@Anne_Hidalgo @Denis_Baupin @SFParisRugby vous emmenez vos fils? Bof c'est nul désolé Bon match sans ou avec hollande?,0
5,alberic de la villad,‏@LAVRAIDROITE,"@TacusselVictor @rubsaura Pas de doute, ce pistonné ne peut être que le fils caché d'Hollande et d'Hidalgo.",0
6,grabotte,@chantalanni,@ArseneAhouansou @RoyalCalin François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) Anne Hidalgo est récemment,1
7,grabotte,@chantalanni,@Elysee @fhollande @Anne_Hidalgo @Paris François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore),0
8,grabotte,@chantalanni,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) Publié par La rédaction le Jeudi 09 Avril 2015 : 16h09,1
9,Martineco,‏@martineco5,@chantalanni  Ah bon ! Si c est vrai   C est un tombeur ce F H ! Décidément on aura tout vu pendant ce quinquenat,0
10,Jacques Gravé,@gravejacques,@chantalanni il n'y a qu'à regarder s'il a l'air niais,0
11,AndreRebeuh,@ARebeuh,François Hollande père du fils d’Anne Hidalgo ? un petit test ADN donnerait la réponse sans ambiguité pourquoi ne l'ont-ils pas fait ?,0
12,grabotte,@chantalanni,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) Publié par La rédaction le Jeudi 09 Avril 2015 : 16h09,4
13,BonBruteTruand,‏@BonBruteTruand,@Europe1 @Anne_Hidalgo comme un air de famille... Le fils caché de #hollande et #hidalgo ? LoL,0
14,grabotte,@chantalanni,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) Publié par La rédaction le Jeudi 09 Avril 2015 : 16h09,0
15,Philippe Cattuzato,‏@direct_victoire,m.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …,0
16,grabotte,@chantalanni,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) Publié par La rédaction le Jeudi 09 Avril 2015 : 16h09,0
17,grabotte,@chantalanni,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) Publié par La rédaction le Jeudi 09 Avril 2015 : 16h09,1
18,grabotte,‏@chantalanni,@tontonflingueu3 François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) Anne Hidalgo est récemment revenue,0
19,Arthur Rudy LABARRE,‏@ArthurLABARRE,@SenateurRYung http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …,0
20,DAVY PARKER,@DavyParkerll,...outai papa outai http://fb.me/6yiN3xCiP,0
21,Alex Majo,‏@hdstanton1,"Fogiel à Hidalgo ""vous remettez votre truc très poli"" http://www.telestar.fr/2015/videos/Anne-Hidalgo-Francois-Hollande-est-il-le-pere-de-son-fils-Elle-repond-a-la-rumeur-Video-96043 … la langue fr. tjours aussi maltraitée par c tocards télévisuels",0
22,Peter,‏@peterdoomoney,Anne Hidalgo : François Hollande est-il le père de son fils ? Elle ... http://mes-actus.fr/?p=125181  #alaune,1
23,Alex Majo,@hdstanton1,"Fogiel à Anne Hidalgo ""vous remettez votre truc très poli"" http://www.telestar.fr/2015/videos/Anne-Hidalgo-Francois-Hollande-est-il-le-pere-de-son-fils-Elle-repond-a-la-rumeur-Video-96043 … Quel effroi... la langue fr. par les tocards télévisuels",0
24,nation59,@nation59,Anne Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la rumeur [Vidéo] http://www.telestar.fr/2015/videos/Anne-Hidalgo-Francois-Hollande-est-il-le-pere-de-son-fils-Elle-repond-a-la-rumeur-Video-96043 …,1
25,BRIENS de TOURVILLE,‏@briens6,F.Hollande père du fils d’Anne Hidalgo? La maire de Paris dément. Sacré François niqueur ! | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr,0
26,grabotte,‏@chantalanni,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) Anne Hidalgo est récemment revenue sur la liaison,1
27,sissi nelly,@C8C57,alain Blanc La République...Hollande une affaire de famille ? #Hidalgo #Royal et fils #Tierv et fils... http://fb.me/6LpYhJvM8,0
28,mangin,‏@fatimalouche,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet Mobile http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr,0
29,CroireEtOser,@CroireEtOser,"On parle de la famille Le Pen mais on pourrait aussi parler du clan Hollande : Royal, Hidalgo, Trierweiler mère et fils, Gayet....",15
30,alain Blanc,‏@a_nb01,La République...Hollande une affaire de famille ? #Hidalgo #Royal et fils #Tierv et fils http://bit.ly/1CtYR3B  ”,6
31,ocsena zaz,@OcsenaZaz,"Hollande a la baraka. Il est père du fils d'Anne Hidalgo disent ses ennemis qui le fustigent, mais lui illico en tire tout le prestige",0
32,Paris France News,@ParisFranceNews,François Hollande père du fils d'Anne Hidalgo ? La maire de Paris dément (encore) - http://goo.gl/alerts/MsFo  #GoogleAlerts,0
33,grabotte,‏@chantalanni,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore),1
34,mazabraud bernard,‏@beberenard,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …,0
35,coppolacorneh,‏@coppolacorneh,Cà vole haut le débat politique en France!! http://fb.me/1ULG4Hy2p,0
36,E.InfoGrandSudOuest,‏@alaindenerac,On s'en bas les c...................... !!! http://fb.me/7y2deoZWH,0
37,Jean-Louis TRCT,‏@GianluigiTRCT,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … Femme publique,0
38,Jean-Louis TRCT,@GianluigiTRCT,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … Que je respire si je mens!,1
39,frede33155,‏@FredericLalanne,ALERTE ALERTE ALERTE ALERTE !!!!le fornicateur hérectus à en core frappé http://fb.me/7fjq21uq2,0
40,in girum et coetera,‏@lamericaprod,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr,0
