,0
0,"Le colis est arrivé très rapidement et était très bien emballé et protégé. Les écouteurs sont tous simplement géniaux, ils tiennent parfaitement dans mes oreilles et ce malgré les montés/descentes répétées de mon camion (étant chauffeur-livreur à mi-temps). Le fait de pouvoir appairé un ou 2 écouteurs est un plus, cela permet de rester attentif pendant la conduite ou de partager le deuxième avec un proche. Concernant le socle il permet 3.5 recharges mais je n'ai jamais réellement déchargé les écouteurs a fond car je les range toujours à l'intérieur de leur base. Cela fait maintenant 3 jours que je les utilise à hauteur de 1 ou 2h par jour et je n'ai toujours pas eu besoin de recharger le socle. Recherchant un produit bluetooth avec un excellent rapport/qualité, je me suis orienté sur ces écouteurs pour ne pas devoir dépenser une fortune dans un produit qui présente des caractéristiques rapprochées. Le son est impéccable avec un bon équilibre entre basse et aigue même à fond pas de saturation ni de grésillement. J'ai découvert cette marque il y a peu à travers une montre connectée et réellement je suis agréablement surpris et satisfait par la qualité et le travail fournis par cette marque, continuez comme ça! On a de le colis : - La base des écouteurs qui sert de protection et de chargeur. - Un cable Micro Usb / Usb pour recharger la base. - Le manuel d'utilisation avec une partie en français (je conseille d'y jeter un oeil après 3 jours j'y ai découvert des fonctionnalités !). - Enfin un ""mini flyers"", on vous y donne toutes les adresses de contact en cas de mécontement (et ça c'est franchement cool). En résumé: Si vous recherchez un produit présentant un bon rapport/qualité prix vous pouvez y aller les yeux fermés, c'est du sérieux!"
1,"--CE QUE CONTIENT LA BOÎTE----- - 1 paire d'oreillettes bluetooth - 1 boitier de recharge - 1 fil chargeur - 1 manuel d utilisation multi langues -----LES PLUS‐--------- - léger - esthétique - tient longtemps la charge - oreillettes tactiles -----LES MOINS--------- - ras -----BILAN----- Ayant essayer plusieurs écouteurs bluetooth (perte, casse...), se sont les meilleurs que j ai pu avoir!!! Le son est très bon, légères, très longue tenue... Je les utilise au bureau, très discrète, pour le sport, bon maintient, dans les transports, m isolée du bruit extérieur. Très satisfaite, j adhère!!! Si vous avez apprécié mon expérience, n'hésitez pas à cliquer sur ""utile"" ci-dessous 😉"
2,"Ces écouteurs bluetooth sont emballés dans un coffret du plus bel effet. Après déballage, par sécurité je les ai chargé avant toute utilisation, ce qui a pris moins d'une heure. Ensuite, c'est l'essai. A la sortie de leur boite de rangement (et de chargement), les écouteurs s'allument instantanément, en mode appairage. Ils sont immédiatement détectés par mon iPhone, l'appairage se fait sans encombres et sans manipulation sur les écouteurs. Je les mets en place dans mes oreilles. Au début il faut prendre le coup de main pour bien les mettre, mais ensuite ça devient un jeu d'enfant, et ils tiennent bien. Idem dans les oreilles de ma compagne, plus petites, ça tient bien aussi. Universel. Ensuite, test audio. Le son est étonnamment bon, excellent même. Les basses sont très présentes sans en devenir brouillon, toutes les fréquences sont bien équilibrées et le son est très bien défini, très clair. Petit test d'appel, le son est clair, à la fois pour moi et pour mon correspondant. Je finis par ranger les écouteurs dans leur boite. La boite est aimantée pour aider, et les mettre bien en contact avec les plots de charge, Ils ne se mettent pas forcément droit comme il faut. L'astuce, c'est que, s'ils se mettent de travers, on les fait un peu tourner sur eux-même, et hop, ils rentrent dans leur logement. La charge démarre immédiatement. Je les reprends pour un test, à la sortie de la boite ils s'allument et effectuent le couplage bluetooth immédiatement, aucun manip pour les allumer. Bref que du bonheur"
3,"Description du produit Spécifications: Version Bluetooth: V5.0 Distance de communication: 10 métres sans obstacle Protocole Bluetooth: HSP, HFP, A2DP, AVRCP Temps de veille: 360 heures Temps de lecture: 4 heures Temps de conversation téléphonique: 3 heures Temps de chargement: 1.5 heures Batterie de écouteurs / boite de chargement: 3.7V / 50mAh ; 3.7V / 500mAh Poids de ecouteur / boite de chargement: 5g / 37g Taille du boite de chargement: 59X44X26mm Contenu du package: 1 x Ecouteur Bluetooth 1 x Boite de Chargement 1 x Cable de Chargement USB 1 x Notice en Français J' ai acheté ces écouteurs car j' étais a la recherche de Petite oreillettes pour pouvoir pratiquer mon sport ( course , vélo, et fitness,) et que du bonheur. Une très bonne autonomie ,tiens très bien dans l oreille et un son de qualité. L association est un jeux d enfants , détection instantané pour ma part avec un oneplus6 . Attention pour rechargement juste un câble USB fourni . Peux ce rechargée avec câble du téléphone portable. Je recommande vivement ces oreillettes pour qui recherche un casque de qualité et qui peux servir autant pour le sport que écouter de la musique ou passer un appel."
4,"Tout d'abord, je tenais à préciser le très bon rapport qualité/prix de ce casque. Pour mon usage d'écoute de musiques via mon smartphone, il remplit toutes les conditions que je recherchais, à savoir: - Restitution sonore de qualité avec des basses agréables et percutantes. - Tenue impeccable sur la tête sans sensation désagréable avec un contact doux sur les oreilles. Le casque s'adapte facilement à chaque personne grâce à ses articulations à la base des écouteurs. - Casque avec un poids plume qui nous permet de l'oublier durant notre écoute. - Autonomie de la batterie très confortable permettant une écoute prolongée plusieurs fois avant son rechargement. - Boutons intuitifs permettant une navigation facile avec prise en main des appels entrants si besoin. - Casque avec une esthétique sympa bien conditionné dans une boite comprenant une housse de protection. Autre atout important, le service client est à l'écoute et très réactif à toute demande. J'ai pu trouver une réponse à ma demande dans des délais très court. Bonne communication de la part de Cowin. En conclusion, après un an d'utilisation, je suis très satisfait de ce casque qui offre un confort et une restitution sonore très agréable. J'ai découvert Cowin suite à mon achat de ce casque bluetooth E7 et je ne suis pas déçu de mon achat, merci."
5,"Très bien reçu et belle surprise, de bonne facture, le son est très bon surtout pour son prix. Le bluetooth ne decroche pas il fonctionne très bien petite sacoche pour transport, branché la manette ps4 directement par le fil du casque et vous serez vraiment surpris 😮, certe il y a toujours mieux, mais ce casque mérite à être connu, musicalement et part son côté classe et bien fini. Je précise que c'est un modèle sans réduction de bruit. Rechargement par usb et bonne autonomie. J'en suis très content, à vous de voir, j'espère avoir été de bon conseil."
6,"Étant un amoureux de musique, c'était important pour moi d'avoir un bon casque pour pouvoir me fondre dans cet art incroyable qui est la musique. Le son de ce casque est vraiment très bien, j'étais choqué du son lors de l'écoutes de mes musiques. Le casque est super léger sur la tête, on le sent pratiquement pas. La batterie tient super longtemps. Il tient bien sur la tête. Quand on met le casque, on entend presque plus rien autour (c'est parfait pour les transports x)) Seul petit bémol, c'est que ça peut arriver qu'il y ait des petites interférences, du coup ça coupe un la musique pendant des micros secondes, mais ça reste rare. Sinon le casque est très bien, très agréable, je le recommande très fortement."
7,"Cela fait déjà plusieurs jour que j'ai pu tester ce casque car j'en avait un peu marre de mes écouteur qui me fessait mal a l'oreille et qui en plus ne tenait pas du tout dessus. Donc j'ai tester ce nouveau casque et je peut vous dire qu'il est est pour commencer vraiment confortable, il tient bien a la tête et ne fait pas mal a l'oreille c'est juste un plaisir de l'utiliser. Pour ce qui de l'écoute de la musique en bluetooth le son est nickel et la durée de vie est plutôt sympa. Depuis quelque temps, j'écoute de la musique sur le trajet de mon travail donc 30 minute pour aller et 30 minute pour le retour, avec spotify pendant 1 semaine sans avoir besoin de le recharger et encore si il se décharge vous avez le câble jack pour passer en mode cablé sans avoir besoin de le recharger au cas ou vous êtes encore sur le trajet du retour. la recharge est assez rapide plus de 2h de recharge total. Les boutons sur le côté du casque sont assez pratique surtout au cas ou on vous appel au télephone, vous n'aurez pas besoin de sortir votre téléphone, le boutons sur le côté du casque vous sert a décrocher et raccrocher l'appel surtout que le casque possède un micro pour les appel donc c'est pratique. Pour le boutons sur le coté du casque il vous faudra vous habitué, j'ai pas trouver sa très facile au début mais avec l'habitude on s'y fait. Au final je suis très satisfait de ce casque de bonne qualité pour un prix qui le vaut largement."
8,"Pour les fêtes je me suis offert ce casque que je ne regrette absolument pas. Je l'ai allumé, le bluetooth du portable l'a reconnu et tout était bon. Très bon son, ne sert pas trop et oreille bien protégée. Peut aussi être connecté par câble (Fourni avec) sur les manettes XBOX ou vous êtes alors 100% ds le jeu. Je ne regrette pas cet achat car Amazon m'a fait économiser 30€ si je compare aux commerces de proximité ds notre région."
9,"Premièrement, le casque est vraiment bien conçu, costaud pour une utilisation au-delà de la normale (ma fille a 2 mains gauche) niveau son, vraiment impeccable, rien à dire, la batterie plus que bien. Le rapport qualité prix juste super. En d'autres je conseille à quiconque veux l'acheter."
10,"J'ai acheté ce casque il y a 1 an et j'en suis très satisfait ! Il est très agréable à porter : au travail je le garde toute la journée sur la tête. La synchronisation bluetooth est très rapide et la portée est satisfaisante (jusqu'à 10m sans problème dans l'open-space) Enfin, l'autonomie est EXCELLENTE !!! Je ne le recharge qu'une seule fois par semaine et pourtant je l'utilise facilement 5h/jour."
11,"J'utilise le Cowin E7 depuis quelques mois maintenant et je l'adore. la qualité du son est excellente, la basse est vraiment profonde et c'est ce que j'aime le plus. La qualité de fabrication est également très bonne, donc je ne m'attends pas à ce que la paire se brise rapidement. ils sont aussi très confortables à porter, je les utilise jusqu'à 4 heures de suite sans arrêt et je ne me sens jamais mal à l'aise. Je recommande fortement ce casque"
12,"Estos auriculares tienen una muy buena relación calidad/precio. Cubren bien toda la oreja y la presión que ejercen es la justa para no caerse y poderse usar durante mucho rato sin provocar dolor. El tacto del material con la piel es suave y agradable. No tiene acabados Premium pero suficiente para cumplir y se ven durables. La batería dura horas sin problema y el sonido es limpio, aunque sin destacar en nada suenan bien. El bluetooth es sencillísimo para vincular. PROS: Comodidad y tacto. CONTRAS: Reacción lenta botones volumen."
13,"Muy buen producto. Llegaron en 1 dia, y funcionan de lujo. Tapan toda la oreja, por lo que se puede estar con ellos horas sin que molesten. Recomiendo su compra 100%."
